STATIONING (ft),LATITUDE,LONGITUDE,PS_ON,PS_OFF,COMMENTS
845,39.499279,-93.3419952,-0.465,-0.463,
847.5,39.499279,-93.3419952,-0.505,-0.49,
850,39.499279,-93.3419876,-0.512,-0.478,
852.5,39.499279,-93.3419724,-0.56,-0.552,
855,39.4992752,-93.3419571,-0.525,-0.506,
857.5,39.4992714,-93.3419418,-0.5,-0.473,
860,39.4992714,-93.3419266,-0.516,-0.507,
862.5,39.4992676,-93.3419189,-0.526,-0.482,
865,39.4992638,-93.3419113,-0.505,-0.476,
867.5,39.49926,-93.3418961,-0.496,-0.478,
870,39.4992561,-93.3418808,-0.527,-0.487,
872.5,39.4992561,-93.3418732,-0.546,-0.506,
875,39.4992561,-93.3418579,-0.568,-0.496,
877.5,39.4992523,-93.3418426,-0.497,-0.478,
880,39.4992523,-93.341835,-0.496,-0.484,
882.5,39.4992485,-93.3418121,-0.5,-0.483,
885,39.4992485,-93.3418045,-0.521,-0.505,
887.5,39.4992485,-93.3417816,-0.498,-0.48,4' 8'
890,39.4992485,-93.3417587,-0.465,-0.439,
892.5,39.4992485,-93.3417435,-0.483,-0.471,
895,39.4992447,-93.3417358,-0.479,-0.473,
897.5,39.4992447,-93.3417358,-0.485,-0.479,
900,39.4992409,-93.3417282,-0.485,-0.467,
902.5,39.4992409,-93.341713,-0.502,-0.491,
905,39.4992371,-93.3416977,-0.51,-0.489,
907.5,39.4992409,-93.3416824,-0.538,-0.452,
910,39.4992409,-93.3416748,-0.526,-0.482,
912.5,39.4992371,-93.3416672,-0.513,-0.489,
915,39.4992371,-93.3416519,-0.489,-0.479,
917.5,39.4992371,-93.3416367,-0.507,-0.479,
920,39.4992371,-93.3416214,-0.539,-0.538,
922.5,39.4992294,-93.3416061,-0.5,-0.477,
925,39.4992256,-93.3415985,-0.506,-0.503,
927.5,39.4992256,-93.3415909,-0.511,-0.475,
930,39.499218,-93.3415756,-0.524,-0.506,
932.5,39.499218,-93.3415604,-0.513,-0.491,
935,39.499218,-93.3415527,-0.563,-0.534,
937.5,39.4992142,-93.3415298,-0.485,-0.442,
940,39.4992142,-93.3415222,-0.517,-0.425,
942.5,39.499218,-93.3415146,-0.55,-0.537,
945,39.4992104,-93.3414917,-0.508,-0.49,
947.5,39.4992104,-93.3414841,-0.536,-0.505,
950,39.4992065,-93.3414764,-0.552,-0.518,
952.5,39.4992065,-93.3414536,-0.533,-0.491,
955,39.4992065,-93.3414383,-0.53,-0.505,
957.5,39.4992027,-93.341423,-0.516,-0.501,
960,39.4991913,-93.3414002,-0.546,-0.526,
962.5,39.4991951,-93.3413925,-0.541,-0.504,
965,39.4991951,-93.3413773,-0.58,-0.527,
967.5,39.4991989,-93.3413696,-0.541,-0.533,
970,39.4991989,-93.3413544,-0.552,-0.542,
972.5,39.4991913,-93.3413544,-0.543,-0.519,
975,39.4991913,-93.3413391,-0.539,-0.513,
977.5,39.4991913,-93.3413238,-0.564,-0.529,
980,39.4991875,-93.3413162,-0.535,-0.522,
982.5,39.4991875,-93.3412933,-0.537,-0.533,
985,39.4991875,-93.3412857,-0.534,-0.526,
987.5,39.4991836,-93.3412704,-0.531,-0.511,
990,39.4991798,-93.3412552,-0.55,-0.529,
992.5,39.4991722,-93.3412247,-0.597,-0.552,
995,39.4991684,-93.341217,-0.565,-0.536,
997.5,39.4991646,-93.3412094,-0.536,-0.511,
1000,39.4991608,-93.3412018,-0.534,-0.513,
1002.5,39.4991608,-93.3411942,-0.54,-0.52,
1005,39.4991608,-93.3411713,-0.549,-0.538,
1007.5,39.4991531,-93.3411713,-0.544,-0.523,
1010,39.4991531,-93.341156,-0.532,-0.519,
1012.5,39.499157,-93.3411484,-0.543,-0.524,
1015,39.4991531,-93.3411331,-0.544,-0.523,
1017.5,39.499157,-93.3411255,-0.545,-0.524,
1020,39.4991608,-93.3411102,-0.537,-0.521,
1022.5,39.499157,-93.341095,-0.536,-0.521,
1025,39.499157,-93.3410721,-0.541,-0.525,
1027.5,39.4991493,-93.3410568,-0.541,-0.519,
1030,39.4991493,-93.3410492,-0.54,-0.523,
1032.5,39.4991417,-93.3410339,-0.564,-0.533,
1035,39.4991379,-93.3410263,-0.559,-0.53,
1037.5,39.4991341,-93.3410187,-0.539,-0.527,
1040,39.4991341,-93.3409958,-0.551,-0.529,
1042.5,39.4991302,-93.3409805,-0.547,-0.535,
1045,39.4991341,-93.3409653,-0.55,-0.527,
1047.5,39.4991379,-93.3409576,-0.562,-0.54,
1050,39.4991417,-93.3409424,-0.564,-0.541,
1052.5,39.4991379,-93.3409424,-0.573,-0.548,
1055,39.4991379,-93.3409271,-0.577,-0.553,
1057.5,39.4991302,-93.3409119,-0.555,-0.53,
1060,39.4991264,-93.340889,-0.552,-0.532,
1062.5,39.4991226,-93.3408814,-0.555,-0.541,
1065,39.4991226,-93.3408661,-0.563,-0.539,
1067.5,39.4991188,-93.3408508,-0.576,-0.554,
1070,39.499115,-93.3408356,-0.556,-0.534,
1072.5,39.4991112,-93.3408203,-0.564,-0.539,
1075,39.4991074,-93.340805,-0.565,-0.546,
1077.5,39.4991074,-93.3407822,-0.574,-0.55,
1080,39.4991036,-93.3407745,-0.567,-0.54,
1082.5,39.4991036,-93.3407669,-0.556,-0.544,
1085,39.4990959,-93.3407516,-0.56,-0.539,
1087.5,39.4990959,-93.340744,-0.558,-0.536,
1090,39.4990959,-93.3407288,-0.566,-0.539,
1092.5,39.4990959,-93.3407135,-0.559,-0.54,
1095,39.4990921,-93.3407059,-0.544,-0.536,
1097.5,39.4990921,-93.340683,-0.55,-0.528,
1100,39.4990883,-93.3406677,-0.566,-0.536,
1102.5,39.4990883,-93.3406601,-0.552,-0.524,
1105,39.4990883,-93.3406448,-0.559,-0.532,
1107.5,39.4990845,-93.3406372,-0.579,-0.547,
1110,39.4990845,-93.3406143,-0.56,-0.543,
1112.5,39.4990845,-93.3406067,-0.556,-0.543,
1115,39.4990845,-93.3405991,-0.557,-0.52,
1117.5,39.4990883,-93.3405838,-0.563,-0.534,
